member,state,party,share,flip
CONAWAY (R TX-11),TX,R,24,0
GRANGER (R TX-12),TX,R,36,0
THORNBER (R TX-13),TX,R,23,0
PAUL (R TX-14),TX,R,33,0
HINOJOSA (D TX-15),TX,D,60,0
REYES (D TX-16),TX,D,66,0
EDWARDS (D TX-17),TX,D,32,1
JACKSON- (D TX-18),TX,D,77,0
NEUGEBAUE (R TX-19),TX,R,27,0
GONZALEZ (D TX-20),TX,D,63,0
SMITH (R TX-21),TX,R,41,0
OLSON (R TX-22),TX,R,41,0
RODRIGUEZ (D TX-23),TX,D,51,1
MARCHANT (R TX-24),TX,R,44,0
DOGGETT (D TX-25),TX,D,59,0
BURGESS (R TX-26),TX,R,41,0
ORTIZ (D TX-27),TX,D,53,1
CUELLAR (D TX-28),TX,D,56,0
GREEN (D TX-29),TX,D,62,0
JOHNSON (D TX-30),TX,D,82,0
CARTER (R TX-31),TX,R,42,0
SESSIONS (R TX-32),TX,R,46,0
BISHOP (R UT-1),UT,R,33,0
MATHESON (D UT-2),UT,D,39,0
CHAFFETZ (R UT-3),UT,R,29,0
WELCH (D VT-1),VT,D,48,0
WITTMAN (R VA-1),VA,R,51,0
NYE (D VA-2),VA,D,76,1
SCOTT (D VA-3),VA,D,50,0
FORBES (R VA-4),VA,R,48,0
PERRIELLO (D VA-5),VA,D,42,1
GOODLATT (R VA-6),VA,R,46,0
CANTOR (R VA-7),VA,R,69,0
MORAN (D VA-8),VA,D,40,0
BOUCHER (D VA-9),VA,D,53,1
WOLF (R VA-10),VA,R,57,0
CONNOLLY (D VA-11),VA,D,68,0
INSLEE (D WA-1),WA,D,62,0
LARSEN (D WA-2),WA,D,56,0
BAIRD (D WA-3),WA,D,52,1
HASTINGS (R WA-4),WA,R,40,0
MCMORRIS (R WA-5),WA,R,46,0
DICKS (D WA-6),WA,D,57,0
MCDERMOT (D WA-7),WA,D,84,0
REICHERT (R WA-8),WA,R,57,0
SMITH (D WA-9),WA,D,59,0
MOLLOHAN (D WV-1),WV,D,42,1
CAPITO (R WV-2),WV,R,44,0
RAHALL (D WV-3),WV,D,42,0
RYAN (R WI-1),WI,R,51,0
BALDWIN (D WI-2),WI,D,69,0
KIND (D WI-3),WI,D,58,0
MOORE (D WI-4),WI,D,75,0
SENSENBR (R WI-5),WI,R,41,0
PETRI (R WI-6),WI,R,50,0
OBEY (D WI-7),WI,D,56,1
KAGEN (D WI-8),WI,D,54,1
LUMMIS (R WY-1),WY,R,33,0
